store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
8.41954e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
5.45155e+16,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
8.37747e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
5.95534e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
1.16935e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
3.73973e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
4.43037e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
1.91256e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
5.48955e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
7.59602e+17,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
5.6279e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
2.65169e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
5.04305e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
2.3673e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
6.6139e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
1.39665e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
8.377e+17,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
2.05796e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
6.10857e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
7.81559e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
7.49393e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
7.96104e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
6.05803e+17,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
5.27838e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
8.49475e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
4.85883e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
7.55575e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
8.62502e+18,60,3.4059171597633138,166.88994082840236,0,0.0,0.0
